"","date","pneg","type"
"115",77,0.00720139231087413,"Repeat Donors (deaths)"
"116",84,0.00831222449180247,"Repeat Donors (deaths)"
"117",91,0.00962515177131018,"Repeat Donors (deaths)"
"118",98,0.0116699556510705,"Repeat Donors (deaths)"
"119",105,0.0134965928177191,"Repeat Donors (deaths)"
"120",112,0.0154635839031363,"Repeat Donors (deaths)"
"121",119,0.017290657403211,"Repeat Donors (deaths)"
"122",126,0.0188694571837644,"Repeat Donors (deaths)"
"123",133,0.020577702547431,"Repeat Donors (deaths)"
"124",140,0.0215000386882305,"Repeat Donors (deaths)"
"125",147,0.0227358076735341,"Repeat Donors (deaths)"
"126",154,0.0243059535078008,"Repeat Donors (deaths)"
"127",161,0.0256309526787672,"Repeat Donors (deaths)"
"128",168,0.0264306064045602,"Repeat Donors (deaths)"
"129",175,0.0274466087875225,"Repeat Donors (deaths)"
"130",182,0.0284492302787472,"Repeat Donors (deaths)"
"131",189,0.0291611809858692,"Repeat Donors (deaths)"
"132",196,0.0298792403609582,"Repeat Donors (deaths)"
"133",203,0.0298248441271558,"Repeat Donors (deaths)"
"134",210,0.0288988718744709,"Repeat Donors (deaths)"
"135",217,0.0285564228571229,"Repeat Donors (deaths)"
"136",224,0.0277358251268712,"Repeat Donors (deaths)"
"137",231,0.0271971715121978,"Repeat Donors (deaths)"
"138",238,0.0262791259834229,"Repeat Donors (deaths)"
"139",245,0.0247756664411307,"Repeat Donors (deaths)"
"140",252,0.0240656792344268,"Repeat Donors (deaths)"
"141",259,0.0230902558601034,"Repeat Donors (deaths)"
"142",266,0.0218904843824631,"Repeat Donors (deaths)"
"143",273,0.0206624966765938,"Repeat Donors (deaths)"
"144",280,0.0197047448060323,"Repeat Donors (deaths)"
"145",287,0.0180260973931113,"Repeat Donors (deaths)"
"146",294,0.0166621918249733,"Repeat Donors (deaths)"
"147",301,0.0160565610293746,"Repeat Donors (deaths)"
"148",308,0.0147640686986616,"Repeat Donors (deaths)"
"149",315,0.0132507916542797,"Repeat Donors (deaths)"
"150",322,0.0118306717963964,"Repeat Donors (deaths)"
"151",329,0.0106346818751167,"Repeat Donors (deaths)"
"152",336,0.00980266675354546,"Repeat Donors (deaths)"
