"","date","ppos","type"
"118",98,0.939189228498507,"Repeat Donors (deaths)"
"119",105,0.925692635680788,"Repeat Donors (deaths)"
"120",112,0.910229051777651,"Repeat Donors (deaths)"
"121",119,0.89293839437444,"Repeat Donors (deaths)"
"122",126,0.874068937190676,"Repeat Donors (deaths)"
"123",133,0.853491234643245,"Repeat Donors (deaths)"
"124",140,0.831991195955015,"Repeat Donors (deaths)"
"125",147,0.80925538828148,"Repeat Donors (deaths)"
"126",154,0.78494943477368,"Repeat Donors (deaths)"
"127",161,0.759318482094912,"Repeat Donors (deaths)"
"128",168,0.732887875690352,"Repeat Donors (deaths)"
"129",175,0.70544126690283,"Repeat Donors (deaths)"
"130",182,0.676992036624082,"Repeat Donors (deaths)"
"131",189,0.647830855638213,"Repeat Donors (deaths)"
"132",196,0.617951615277255,"Repeat Donors (deaths)"
"133",203,0.588126771150099,"Repeat Donors (deaths)"
"134",210,0.559227899275628,"Repeat Donors (deaths)"
"135",217,0.530671476418505,"Repeat Donors (deaths)"
"136",224,0.502935651291634,"Repeat Donors (deaths)"
"137",231,0.475738479779436,"Repeat Donors (deaths)"
"138",238,0.449459353796014,"Repeat Donors (deaths)"
"139",245,0.424683687354883,"Repeat Donors (deaths)"
"140",252,0.400618008120456,"Repeat Donors (deaths)"
"141",259,0.377527752260353,"Repeat Donors (deaths)"
"142",266,0.35563726787789,"Repeat Donors (deaths)"
"143",273,0.334974771201296,"Repeat Donors (deaths)"
"144",280,0.315270026395263,"Repeat Donors (deaths)"
"145",287,0.297243929002152,"Repeat Donors (deaths)"
"146",294,0.280581737177179,"Repeat Donors (deaths)"
"147",301,0.264525176147804,"Repeat Donors (deaths)"
"148",308,0.249761107449142,"Repeat Donors (deaths)"
"149",315,0.236510315794863,"Repeat Donors (deaths)"
"150",322,0.224679643998466,"Repeat Donors (deaths)"
"151",329,0.21404496212335,"Repeat Donors (deaths)"
"152",336,0.204242295369804,"Repeat Donors (deaths)"
"153",343,0.194368215378833,"Repeat Donors (deaths)"
"154",350,0.185089730514658,"Repeat Donors (deaths)"
"155",357,0.175791101590639,"Repeat Donors (deaths)"
"156",364,0.166697113043519,"Repeat Donors (deaths)"
"157",371,0.158287731642144,"Repeat Donors (deaths)"
"158",378,0.150566157164973,"Repeat Donors (deaths)"
"159",385,0.142944866653596,"Repeat Donors (deaths)"
"160",392,0.13614482837261,"Repeat Donors (deaths)"
"161",399,0.130055504520705,"Repeat Donors (deaths)"
"162",406,0.124593337246759,"Repeat Donors (deaths)"
"163",413,0.118885005198186,"Repeat Donors (deaths)"
"164",420,0.113438109594158,"Repeat Donors (deaths)"
"165",427,0.108219489094282,"Repeat Donors (deaths)"
"166",434,0.10322819830947,"Repeat Donors (deaths)"
"167",441,0.0983686074971392,"Repeat Donors (deaths)"
"168",448,0.0937189657850598,"Repeat Donors (deaths)"
"169",455,0.0892640015033141,"Repeat Donors (deaths)"
"170",462,0.0849485911957223,"Repeat Donors (deaths)"
"171",469,0.0807396462441291,"Repeat Donors (deaths)"
"172",476,0.0766567289304769,"Repeat Donors (deaths)"
"173",483,0.0726166450148324,"Repeat Donors (deaths)"
"174",490,0.0682643645327248,"Repeat Donors (deaths)"
"175",497,0.0631459552764057,"Repeat Donors (deaths)"
"176",504,0.0586552116537095,"Repeat Donors (deaths)"
"177",511,0.0547531545452271,"Repeat Donors (deaths)"
"178",518,0.0513898964958935,"Repeat Donors (deaths)"
"179",525,0.0484083574722681,"Repeat Donors (deaths)"
"180",532,0.0457123259538685,"Repeat Donors (deaths)"
"181",539,0.0433333633918582,"Repeat Donors (deaths)"
"182",546,0.0409538190519464,"Repeat Donors (deaths)"
"183",553,0.0387133196305245,"Repeat Donors (deaths)"
"184",560,0.0367753447179512,"Repeat Donors (deaths)"
"185",567,0.0350799711903583,"Repeat Donors (deaths)"
"186",574,0.0334705553477316,"Repeat Donors (deaths)"
"187",581,0.0320364728202092,"Repeat Donors (deaths)"
"188",588,0.0307942315557498,"Repeat Donors (deaths)"
"189",595,0.0292376847799338,"Repeat Donors (deaths)"
"190",602,0.0277170627895436,"Repeat Donors (deaths)"
"191",609,0.0257532714825853,"Repeat Donors (deaths)"
"192",616,0.0238012611781352,"Repeat Donors (deaths)"
"193",623,0.0222231158977211,"Repeat Donors (deaths)"
"194",630,0.0206412617831842,"Repeat Donors (deaths)"
"195",637,0.0189637779260665,"Repeat Donors (deaths)"
"196",644,0.0173473080263825,"Repeat Donors (deaths)"
"197",651,0.015817668478517,"Repeat Donors (deaths)"
"198",658,0.0142560311460618,"Repeat Donors (deaths)"
"199",665,0.0127821695545152,"Repeat Donors (deaths)"
"200",672,0.0113365241911978,"Repeat Donors (deaths)"
"201",679,0.00993807556015036,"Repeat Donors (deaths)"
"202",686,0.00868776212730582,"Repeat Donors (deaths)"
"203",693,0.00762907179081129,"Repeat Donors (deaths)"
"204",700,0.00660601535079175,"Repeat Donors (deaths)"
"205",707,0.00559772152502602,"Repeat Donors (deaths)"
"206",714,0.0045756104740966,"Repeat Donors (deaths)"
"207",0,1,"Plasma Donors"
"208",7,1,"Plasma Donors"
"209",14,1,"Plasma Donors"
"210",21,1,"Plasma Donors"
"211",28,0.983568075117371,"Plasma Donors"
"212",35,0.983568075117371,"Plasma Donors"
"213",42,0.983568075117371,"Plasma Donors"
"214",49,0.983568075117371,"Plasma Donors"
"215",56,0.983568075117371,"Plasma Donors"
"216",63,0.983568075117371,"Plasma Donors"
"217",70,0.974178403755869,"Plasma Donors"
"218",77,0.967136150234742,"Plasma Donors"
"219",84,0.967136150234742,"Plasma Donors"
"220",91,0.957746478873239,"Plasma Donors"
"221",98,0.934272300469484,"Plasma Donors"
"222",105,0.906103286384977,"Plasma Donors"
"223",112,0.901408450704225,"Plasma Donors"
"224",119,0.901408450704225,"Plasma Donors"
"225",126,0.901408450704225,"Plasma Donors"
"226",133,0.89906103286385,"Plasma Donors"
"227",140,0.847417840375587,"Plasma Donors"
"228",147,0.802816901408451,"Plasma Donors"
"229",154,0.802816901408451,"Plasma Donors"
"230",161,0.791079812206573,"Plasma Donors"
"231",168,0.776995305164319,"Plasma Donors"
"232",175,0.744131455399061,"Plasma Donors"
"233",182,0.697183098591549,"Plasma Donors"
"234",189,0.645539906103286,"Plasma Donors"
"235",196,0.63849765258216,"Plasma Donors"
"236",203,0.633802816901408,"Plasma Donors"
"237",210,0.619718309859155,"Plasma Donors"
"238",217,0.591549295774648,"Plasma Donors"
"239",224,0.589201877934272,"Plasma Donors"
"240",231,0.589201877934272,"Plasma Donors"
"241",238,0.589201877934272,"Plasma Donors"
"242",245,0.589201877934272,"Plasma Donors"
"243",252,0.586854460093897,"Plasma Donors"
"244",259,0.55868544600939,"Plasma Donors"
"245",266,0.551643192488263,"Plasma Donors"
"246",273,0.532863849765258,"Plasma Donors"
"247",280,0.509389671361502,"Plasma Donors"
"248",287,0.490610328638498,"Plasma Donors"
"249",294,0.485915492957746,"Plasma Donors"
"250",301,0.469483568075117,"Plasma Donors"
"251",308,0.443661971830986,"Plasma Donors"
"252",315,0.44131455399061,"Plasma Donors"
"253",322,0.44131455399061,"Plasma Donors"
"254",329,0.431924882629108,"Plasma Donors"
"255",336,0.408450704225352,"Plasma Donors"
"256",343,0.392018779342723,"Plasma Donors"
"257",350,0.392018779342723,"Plasma Donors"
"258",357,0.392018779342723,"Plasma Donors"
"259",364,0.382629107981221,"Plasma Donors"
"260",371,0.373239436619718,"Plasma Donors"
"261",378,0.342723004694836,"Plasma Donors"
"262",385,0.342723004694836,"Plasma Donors"
"263",392,0.328638497652582,"Plasma Donors"
"264",399,0.326291079812207,"Plasma Donors"
"265",406,0.312206572769953,"Plasma Donors"
"266",413,0.309859154929577,"Plasma Donors"
"267",420,0.302816901408451,"Plasma Donors"
"268",427,0.293427230046948,"Plasma Donors"
"269",434,0.293427230046948,"Plasma Donors"
"270",441,0.276995305164319,"Plasma Donors"
"271",448,0.276995305164319,"Plasma Donors"
"272",455,0.276995305164319,"Plasma Donors"
"273",462,0.276995305164319,"Plasma Donors"
"274",469,0.269953051643192,"Plasma Donors"
"275",476,0.258215962441315,"Plasma Donors"
"276",483,0.244131455399061,"Plasma Donors"
"277",490,0.227699530516432,"Plasma Donors"
"278",497,0.185446009389671,"Plasma Donors"
"279",504,0.178403755868545,"Plasma Donors"
"280",511,0.171361502347418,"Plasma Donors"
"281",518,0.161971830985915,"Plasma Donors"
"282",525,0.157276995305164,"Plasma Donors"
"283",532,0.145539906103286,"Plasma Donors"
"284",539,0.145539906103286,"Plasma Donors"
"285",546,0.140845070422535,"Plasma Donors"
"286",553,0.129107981220657,"Plasma Donors"
"287",560,0.103286384976526,"Plasma Donors"
"288",567,0.096244131455399,"Plasma Donors"
"289",574,0.096244131455399,"Plasma Donors"
"290",581,0.096244131455399,"Plasma Donors"
"291",588,0.096244131455399,"Plasma Donors"
"292",595,0.096244131455399,"Plasma Donors"
"293",602,0.096244131455399,"Plasma Donors"
"294",609,0.096244131455399,"Plasma Donors"
"295",616,0.096244131455399,"Plasma Donors"
"296",623,0.0798122065727699,"Plasma Donors"
"297",630,0.0774647887323944,"Plasma Donors"
"298",637,0.0633802816901409,"Plasma Donors"
"299",644,0.0633802816901409,"Plasma Donors"
"300",651,0.0633802816901409,"Plasma Donors"
"301",658,0.0633802816901409,"Plasma Donors"
"302",665,0.0633802816901409,"Plasma Donors"
"303",672,0.0633802816901409,"Plasma Donors"
"304",679,0.0633802816901409,"Plasma Donors"
"305",686,0.0516431924882629,"Plasma Donors"
"306",693,0.0469483568075117,"Plasma Donors"
"307",700,0.0469483568075117,"Plasma Donors"
"308",707,0.0469483568075117,"Plasma Donors"
"309",714,0.0422535211267605,"Plasma Donors"
